Soil,Treatment,Yield,Nuptake,Nrecovery,Puptake,Precovery,NO3,NH4,PO4,ResinP,WaterSolP,TotalP2,pH,EC,OC,CharPRate,CharPerc
Haverhill,CanolaMeal10thaTSP,10.69,65.27,8.61,20.37,10.08,6.21,9.29,11.6,0.13,3.65,563.7,8.01,237,2.11,176999,3.039
Haverhill,CanolaMeal10thaTSP,10.81,70.27,9.44,22.1,11.05,5.16,9.83,13.64,0.26,3.5,,8.05,217,2.09,177000,3.04
Haverhill,CanolaHull10thaTSP,8.99,NA,NA,NA,NA,,9.36,9.81,0.05,2.55,503.7,8,272,2.07,52500,0.55
Haverhill,CanolaHull10thaTSP,9.69,59.96,12.7,19.92,33.11,2.82,8.36,13.04,0.11,4.15,488.1,7.96,285,1.93,52501,0.551
Haverhill,CanolaHull10thaTSP,8.84,60.06,12.73,19.43,32.17,3.47,8.48,12.89,0.08,4.7,468.3,7.98,312,2.01,52499,0.549
Haverhill,CanolaHull10thaTSP,9.5,63.02,13.53,19.17,31.68,2.98,7.39,11.4,0.15,2.95,474,7.91,321,2,52000,0.55
Haverhill,Manure10thaTSP,8.89,50.86,15.09,17.57,11.26,5.72,7.58,23.22,0.54,8,562.5,8.07,232,2,133500,2.17
Haverhill,Manure10thaTSP,9.83,48.93,14.32,17.83,11.46,6.63,7.91,13.37,0.3,4.4,524.4,8.06,245,1.92,133501,2.171
Haverhill,Manure10thaTSP,9.9,64.1,20.41,22.5,14.95,4.02,9.51,26.68,0.48,8.4,636.6,8.09,236,2.01,133499,2.169
Haverhill,Manure10thaTSP,9.31,58.2,18.04,21.14,13.94,5.66,8.7,19.48,0.49,5.55,606.3,8.06,236,1.98,133500,2.17
Haverhill,Willow10thaTSP,10.13,73.32,22.24,20.04,52.25,2.14,8.07,10.36,0.12,3.1,505.2,8.03,202,2.13,33500,0.17
Haverhill,Willow10thaTSP,6.82,62.28,18.15,14.14,34.62,2.79,8.9,15.32,0.2,5.55,536.7,8.02,,2.01,33501,0.171
Haverhill,Willow10thaTSP,7.5,61.22,17.75,14.83,36.68,3.14,9.26,12.51,0.12,4.05,529.5,8.06,198,2.3,33499,0.169
Haverhill,Willow10thaTSP,11.16,69.69,20.89,19.57,50.83,4.54,10.44,11.47,0.19,3.5,499.2,8.07,203,2.12,33500,0.17
Haverhill,TripleSuperPhosphate,6.02,NA,NA,13,41.85,2.37,7.32,14.59,0.14,3.65,501.9,8.08,201,1.85,25000,24.6
Haverhill,TripleSuperPhosphate,9.86,57.5,22.11,17.98,61.76,3.87,8.1,11.83,0.07,3,496.2,8.1,193,1.92,25001,24.61
Haverhill,TripleSuperPhosphate,8.63,58.77,22.74,16.25,54.84,2.94,9.09,11.21,0.09,3.35,528.6,8.06,215,1.86,24999,24.59
Haverhill,TripleSuperPhosphate,10.51,57.71,22.21,18.41,63.48,5.61,7.82,13.04,0.07,3.3,482.4,8.06,220,1.88,25000,24.6
Oxbow,Control1,1.49,8.32,NA,1.56,NA,10.66,10.18,1.95,0.07,2.1,544.5,8.08,201,2.67,NA,NA
Oxbow,Control1,0.94,4.07,NA,0.72,NA,22.44,9.98,2.03,0.06,1.95,524.1,7.99,232,3.06,NA,NA
Oxbow,Control1,1.6,10,NA,1.46,NA,8.43,9.83,2.22,0.08,2.15,537.3,8.01,201,2.79,NA,NA
Oxbow,Control1,1.2,8.37,NA,1.33,NA,17.93,,,0.1,2.45,524.1,7.95,243,2.78,NA,NA
Oxbow,Control2,2,60.65,26.48,2.79,NA,5.13,14.41,2.99,0.1,3.1,524.4,7.98,208,2.8,NA,NA
Oxbow,Control2,3.01,77.07,34.69,3.17,NA,11.64,12.47,2.56,0.08,2.55,555.9,7.97,233,2.77,NA,NA
Oxbow,Control2,2.3,45.24,18.77,2.09,NA,20.47,11.36,2.26,0.04,1.8,578.1,7.95,265,2.85,NA,NA
