Block,Treatment,Biomass,Grain,Straw,Nuptake,Puptake,SNO3,SNH4,SPO4,ResinP,WatSolP,TotalP,pH,EC,OC,LPO4,LNO3,LNH4
Block1,Control1,7.79,2.81,4.98,150.87,20.41,5.36,1.73,6.1,,7.65,512.63,7.2,139,1.64,0.00186,1.11686,0.03347
Block2,Control1,10.69,3.75,6.94,119.24,14.73,,2.09,7.15,,8.05,478.33,7.25,140,1.67,0.00102,1.01598,0.03526
Block3,Control1,8.88,3.52,5.36,195.07,27.18,6.9,2.34,8.33,,7.95,513.87,7.07,102,1.55,0.02625,0.34357,0.02556
Block4,Control1,8.74,4.35,4.39,136.53,21.62,6.24,3.88,5.26,,8.2,503.67,7.44,131,1.41,0.00725,1.83884,0.02417
Block1,Control2,9.64,3.85,5.79,99.51,19.77,10.05,1.41,7.62,,6.45,512.32,7.14,156,1.7,0.00294,0.98136,0.05515
Block2,Control2,9.11,3.93,5.18,170.75,29.48,6.73,2.59,5.08,,8.55,512.63,7.17,129,1.52,0.00077,2.84417,0.02885
Block3,Control2,11.18,4.41,6.77,146.05,21.27,7.04,3.59,3.99,,7.05,512.63,7.07,77,1.49,0.00252,0.48275,0.02078
Block4,Control2,8.16,3.52,4.64,152.21,28.34,12.46,3.81,4.57,,7.8,572.58,7.51,258,1.5,0.00475,4.98699,0.04299
Block1,CanolaMeal,8.86,3.71,5.15,100.37,22.84,6.7,2.28,6.53,,7.55,497.8,7.04,110,1.49,0.03308,1.19043,0.09384
Block2,CanolaMeal,12.17,4.46,7.71,127.82,15.36,,4.02,,,9,572.58,6.85,178,1.8,0.05962,4.93835,0.17859
Block3,CanolaMeal,12.33,4.91,7.42,113.69,23.82,8.67,2.44,4.75,,7.3,546.93,7.12,88,1.77,0.00414,0.74503,0.04303
Block4,CanolaMeal,9.24,2.25,6.99,153.88,21.33,7.75,5.69,6.7,,9,514.18,7.66,132,1.64,0.00564,0.11798,0.02660
Block1,Manure,12.93,5.17,7.76,124.41,14.59,5.8,2.58,12.68,,8.7,537.35,7.23,110,2.04,0.04434,2.27187,0.11844
Block2,Manure,12.72,4.47,8.25,123.19,26.1,3.43,2.72,17.23,,12.25,561.76,7.13,98,1.84,0.04441,1.02798,0.07540
Block3,Manure,11.94,4.57,7.37,145.48,26.79,4.53,2.06,11,,9.8,528.39,7.03,85,1.48,0.00256,0.02707,0.02688
Block4,Manure,11.06,3.41,7.65,165.82,16.53,7.57,3.39,5.87,,8.7,491.93,7.53,129,1.55,0.01922,1.33191,0.03668
Block1,Willow,11.58,5.04,6.54,199.34,20.4,6.08,2.11,11.81,,10.3,527.15,7.14,155,2.8,0.00693,3.23630,0.04691
Block2,Willow,11.9,4.81,7.09,144.74,20.9,5.46,2.6,6.79,,7.75,489.46,7.18,152,1.98,0.00126,6.51205,0.02582
Block3,Willow,10.25,4.41,5.84,221.86,26.73,27.15,3.33,7.73,,7.9,478.02,6.98,165,2.61,,5.52060,0.06649
Block4,Willow,10.08,4.29,5.79,166.46,25.47,10.9,5.53,4.42,,8.45,608.73,7.66,262,1.81,0.01294,1.29492,0.04710
Block1,MBMACoarse,12.53,4.92,7.61,94.24,21.88,3.3,2.34,9.13,,9.65,524.06,7.21,138,1.55,0.03334,1.25425,0.08726
Block2,MBMACoarse,14.73,5.51,9.22,107.07,19.9,2.95,2.45,14.54,,10.95,582.16,7.08,120,1.75,,0.41428,0.10979
Block3,MBMACoarse,14.38,5.71,8.67,155.56,24.6,5.76,2.57,17.04,,12.2,682.58,7.08,96,1.9,0.02628,0.92929,0.06106
Block4,MBMACoarse,14.06,5.8,8.26,137.43,18.73,12.78,4.01,10.84,,9.45,562.07,7.34,275,1.84,0.03152,2.29915,0.06962
Block1,MBMAFine,9.32,3.56,5.76,104.71,30.87,7.7,2.43,6.36,,10.2,484.2,7.24,136,1.53,0.00212,2.04673,0.06108
Block2,MBMAFine,10.1,4.1,6,159.1,24.33,4.34,2.63,7.31,,8.85,584.94,7.31,101,1.7,0.00669,0.94382,0.04181
Block3,MBMAFine,13.09,4.63,8.46,144.79,19.79,,4.23,14.59,,9.95,706.99,7.05,106,1.66,0.00373,4.66981,0.07518
Block4,MBMAFine,10.92,4.43,6.49,131.12,28.64,8.39,3.04,4.49,,8,485.13,7.12,164,1.57,0.03607,1.42532,0.04932
Block1,Phosphorus,11.41,4.58,6.83,96.15,26.8,5.19,1.92,14.03,,10.55,567.02,7.46,277,1.66,0.00518,1.47667,0.06397
Block2,Phosphorus,13.18,4.93,8.25,116.86,22.18,3.42,3.47,8.53,,8.8,479.57,7.15,73,1.63,0.02310,0.93291,0.04687
Block3,Phosphorus,11.57,5.21,6.36,207.75,,8.43,2.22,12.69,,11.4,665.9,6.98,106,1.78,0.06550,1.11449,0.04991
Block4,Phosphorus,13.93,5.47,8.46,147.14,25.05,8.64,2.33,18.76,,16.2,591.43,7.06,102,1.73,0.03273,0.53216,0.03693
