"","Var1","variable","Covariance","treatment"
"80","NH4","ResinP",-0.105120022671329,"CanolaHull10thaTSP"
"81","PO4","ResinP",-0.0624864346929405,"CanolaHull10thaTSP"
"82","ResinP","ResinP",0.0989261526825868,"CanolaHull10thaTSP"
"83","WaterSolP","ResinP",-0.211771086509483,"CanolaHull10thaTSP"
"84","TotalP2","ResinP",0.0173802897452284,"CanolaHull10thaTSP"
"85","Drywt","WaterSolP",-0.0676377055066282,"CanolaHull10thaTSP"
"86","NO3","WaterSolP",0.0225365830908538,"CanolaHull10thaTSP"
"87","NH4","WaterSolP",0.235377052477477,"CanolaHull10thaTSP"
"88","PO4","WaterSolP",0.143791203189729,"CanolaHull10thaTSP"
"89","ResinP","WaterSolP",-0.211771086509483,"CanolaHull10thaTSP"
"90","WaterSolP","WaterSolP",0.460960921287705,"CanolaHull10thaTSP"
"91","TotalP2","WaterSolP",-0.0135391807531332,"CanolaHull10thaTSP"
"92","Drywt","TotalP2",0.0403794180743992,"CanolaHull10thaTSP"
"93","NO3","TotalP2",-0.0141221515649455,"CanolaHull10thaTSP"
"94","NH4","TotalP2",0.0136553284307841,"CanolaHull10thaTSP"
"95","PO4","TotalP2",0.0201515243600474,"CanolaHull10thaTSP"
"96","ResinP","TotalP2",0.0173802897452284,"CanolaHull10thaTSP"
"97","WaterSolP","TotalP2",-0.0135391807531332,"CanolaHull10thaTSP"
"98","TotalP2","TotalP2",0.076532347923295,"CanolaHull10thaTSP"
"99","Drywt","Drywt",0.18869310326993,"CanolaHull50kgha"
"100","NO3","Drywt",-0.0531689510950434,"CanolaHull50kgha"
"101","NH4","Drywt",-0.00439985136789305,"CanolaHull50kgha"
"102","PO4","Drywt",-0.0308661771114365,"CanolaHull50kgha"
"103","ResinP","Drywt",-0.0142568649698765,"CanolaHull50kgha"
"104","WaterSolP","Drywt",0.004632055127919,"CanolaHull50kgha"
"105","TotalP2","Drywt",-0.290380956354803,"CanolaHull50kgha"
"106","Drywt","NO3",-0.0531689510950434,"CanolaHull50kgha"
"107","NO3","NO3",0.127632442180571,"CanolaHull50kgha"
"108","NH4","NO3",0.0239806715526771,"CanolaHull50kgha"
"109","PO4","NO3",0.0418284710209601,"CanolaHull50kgha"
"110","ResinP","NO3",-0.0239511520874623,"CanolaHull50kgha"
"111","WaterSolP","NO3",0.0178111705072877,"CanolaHull50kgha"
"112","TotalP2","NO3",0.0762000372989503,"CanolaHull50kgha"
"113","Drywt","NH4",-0.00439985136789305,"CanolaHull50kgha"
"114","NO3","NH4",0.0239806715526771,"CanolaHull50kgha"
"115","NH4","NH4",0.00469331864846081,"CanolaHull50kgha"
"116","PO4","NH4",0.00740793697577962,"CanolaHull50kgha"
"117","ResinP","NH4",-0.00531356475170999,"CanolaHull50kgha"
"118","WaterSolP","NH4",0.00375102872474069,"CanolaHull50kgha"
"119","TotalP2","NH4",0.00563604357402655,"CanolaHull50kgha"
"120","Drywt","PO4",-0.0308661771114365,"CanolaHull50kgha"
"121","NO3","PO4",0.0418284710209601,"CanolaHull50kgha"
"122","NH4","PO4",0.00740793697577962,"CanolaHull50kgha"
"123","PO4","PO4",0.0147930919266965,"CanolaHull50kgha"
"124","ResinP","PO4",-0.0058935210472181,"CanolaHull50kgha"
"125","WaterSolP","PO4",0.00486451433003315,"CanolaHull50kgha"
"126","TotalP2","PO4",0.0458466928852758,"CanolaHull50kgha"
"127","Drywt","ResinP",-0.0142568649698765,"CanolaHull50kgha"
"128","NO3","ResinP",-0.0239511520874623,"CanolaHull50kgha"
"129","NH4","ResinP",-0.00531356475170999,"CanolaHull50kgha"
"130","PO4","ResinP",-0.0058935210472181,"CanolaHull50kgha"
"131","ResinP","ResinP",0.00802103940669623,"CanolaHull50kgha"
"132","WaterSolP","ResinP",-0.00509609566466672,"CanolaHull50kgha"
"133","TotalP2","ResinP",0.023335773643943,"CanolaHull50kgha"
"134","Drywt","WaterSolP",0.004632055127919,"CanolaHull50kgha"
"135","NO3","WaterSolP",0.0178111705072877,"CanolaHull50kgha"
"136","NH4","WaterSolP",0.00375102872474069,"CanolaHull50kgha"
"137","PO4","WaterSolP",0.00486451433003315,"CanolaHull50kgha"
"138","ResinP","WaterSolP",-0.00509609566466672,"CanolaHull50kgha"
"139","WaterSolP","WaterSolP",0.00335767580542554,"CanolaHull50kgha"
"140","TotalP2","WaterSolP",-0.0080823246320986,"CanolaHull50kgha"
"141","Drywt","TotalP2",-0.290380956354803,"CanolaHull50kgha"
"142","NO3","TotalP2",0.0762000372989503,"CanolaHull50kgha"
"143","NH4","TotalP2",0.00563604357402655,"CanolaHull50kgha"
"144","PO4","TotalP2",0.0458466928852758,"CanolaHull50kgha"
"145","ResinP","TotalP2",0.023335773643943,"CanolaHull50kgha"
"146","WaterSolP","TotalP2",-0.0080823246320986,"CanolaHull50kgha"
"147","TotalP2","TotalP2",0.447149579997697,"CanolaHull50kgha"
"148","Drywt","Drywt",0.0777029302395315,"CanolaMeal10tha"
"149","NO3","Drywt",0.0294380630434472,"CanolaMeal10tha"
"150","NH4","Drywt",-0.10927182591175,"CanolaMeal10tha"
"151","PO4","Drywt",0.0129024374232856,"CanolaMeal10tha"
"152","ResinP","Drywt",-0.0103061674481035,"CanolaMeal10tha"
"153","WaterSolP","Drywt",0.0950177591161596,"CanolaMeal10tha"
"154","TotalP2","Drywt",-0.0805818475946499,"CanolaMeal10tha"
"155","Drywt","NO3",0.0294380630434472,"CanolaMeal10tha"
"156","NO3","NO3",0.113722552804696,"CanolaMeal10tha"
"157","NH4","NO3",-0.0519426169529284,"CanolaMeal10tha"
"158","PO4","NO3",0.0525303157571893,"CanolaMeal10tha"
"159","ResinP","NO3",0.0612691794984378,"CanolaMeal10tha"
"160","WaterSolP","NO3",0.080783626778261,"CanolaMeal10tha"
"161","TotalP2","NO3",0.0414041718073539,"CanolaMeal10tha"
"162","Drywt","NH4",-0.10927182591175,"CanolaMeal10tha"
"163","NO3","NH4",-0.0519426169529284,"CanolaMeal10tha"
"164","NH4","NH4",0.154750449136373,"CanolaMeal10tha"
"165","PO4","NH4",-0.0230421877486495,"CanolaMeal10tha"
"166","ResinP","NH4",0.00779322830250803,"CanolaMeal10tha"
"167","WaterSolP","NH4",-0.138225408506694,"CanolaMeal10tha"
"168","TotalP2","NH4",0.105925413228417,"CanolaMeal10tha"
"169","Drywt","PO4",0.0129024374232856,"CanolaMeal10tha"
"170","NO3","PO4",0.0525303157571893,"CanolaMeal10tha"
"171","NH4","PO4",-0.0230421877486495,"CanolaMeal10tha"
"172","PO4","PO4",0.024271517888389,"CanolaMeal10tha"
"173","ResinP","PO4",0.0285609096903646,"CanolaMeal10tha"
"174","WaterSolP","PO4",0.0365798676264992,"CanolaMeal10tha"
"175","TotalP2","PO4",0.0200313090280887,"CanolaMeal10tha"
"176","Drywt","ResinP",-0.0103061674481035,"CanolaMeal10tha"
"177","NO3","ResinP",0.0612691794984378,"CanolaMeal10tha"
"178","NH4","ResinP",0.00779322830250803,"CanolaMeal10tha"
"179","PO4","ResinP",0.0285609096903646,"CanolaMeal10tha"
"180","ResinP","ResinP",0.0427788768357132,"CanolaMeal10tha"
"181","WaterSolP","ResinP",0.0158545198456298,"CanolaMeal10tha"
"182","TotalP2","ResinP",0.0563947863061956,"CanolaMeal10tha"
"183","Drywt","WaterSolP",0.0950177591161596,"CanolaMeal10tha"
"184","NO3","WaterSolP",0.080783626778261,"CanolaMeal10tha"
"185","NH4","WaterSolP",-0.138225408506694,"CanolaMeal10tha"
"186","PO4","WaterSolP",0.0365798676264992,"CanolaMeal10tha"
"187","ResinP","WaterSolP",0.0158545198456298,"CanolaMeal10tha"
"188","WaterSolP","WaterSolP",0.135746036133632,"CanolaMeal10tha"
"189","TotalP2","WaterSolP",-0.0671296262436725,"CanolaMeal10tha"
"190","Drywt","TotalP2",-0.0805818475946499,"CanolaMeal10tha"
"191","NO3","TotalP2",0.0414041718073539,"CanolaMeal10tha"
"192","NH4","TotalP2",0.105925413228417,"CanolaMeal10tha"
"193","PO4","TotalP2",0.0200313090280887,"CanolaMeal10tha"
"194","ResinP","TotalP2",0.0563947863061956,"CanolaMeal10tha"
"195","WaterSolP","TotalP2",-0.0671296262436725,"CanolaMeal10tha"
"196","TotalP2","TotalP2",0.134014483917661,"CanolaMeal10tha"
"197","Drywt","Drywt",0.000264846192825526,"CanolaMeal10thaTSP"
"198","NO3","Drywt",-0.0056537119942694,"CanolaMeal10thaTSP"
"199","NH4","Drywt",-0.00286748933976481,"CanolaMeal10thaTSP"
"200","PO4","Drywt",0.00413577000926992,"CanolaMeal10thaTSP"
"201","ResinP","Drywt",-0.00309185023443109,"CanolaMeal10thaTSP"
"202","WaterSolP","Drywt",0.00174611502204277,"CanolaMeal10thaTSP"
"203","TotalP2","Drywt",-0.0140549734176717,"CanolaMeal10thaTSP"
"204","Drywt","NO3",-0.0056537119942694,"CanolaMeal10thaTSP"
"205","NO3","NO3",0.120690650573947,"CanolaMeal10thaTSP"
"206","NH4","NO3",0.0612127314374798,"CanolaMeal10thaTSP"
"207","PO4","NO3",-0.0882869119525261,"CanolaMeal10thaTSP"
"208","ResinP","NO3",0.0660021976090981,"CanolaMeal10thaTSP"
"209","WaterSolP","NO3",-0.0372745831766615,"CanolaMeal10thaTSP"
"210","TotalP2","NO3",0.300033657055346,"CanolaMeal10thaTSP"
"211","Drywt","NH4",-0.00286748933976481,"CanolaMeal10thaTSP"
"212","NO3","NH4",0.0612127314374798,"CanolaMeal10thaTSP"
"213","NH4","NH4",0.0310463028595679,"CanolaMeal10thaTSP"
"214","PO4","NH4",-0.0447779758008946,"CanolaMeal10thaTSP"
"215","ResinP","NH4",0.0334754579357728,"CanolaMeal10thaTSP"
"216","WaterSolP","NH4",-0.018905184772693,"CanolaMeal10thaTSP"
"217","TotalP2","NH4",0.152173176498714,"CanolaMeal10thaTSP"
"218","Drywt","PO4",0.00413577000926992,"CanolaMeal10thaTSP"
"219","NO3","PO4",-0.0882869119525261,"CanolaMeal10thaTSP"
"220","NH4","PO4",-0.0447779758008946,"CanolaMeal10thaTSP"
"221","PO4","PO4",0.0645831204409442,"CanolaMeal10thaTSP"
"222","ResinP","PO4",-0.048281537809902,"CanolaMeal10thaTSP"
"223","WaterSolP","PO4",0.0272668829551858,"CanolaMeal10thaTSP"
"224","TotalP2","PO4",-0.219478848918873,"CanolaMeal10thaTSP"
"225","Drywt","ResinP",-0.00309185023443109,"CanolaMeal10thaTSP"
"226","NO3","ResinP",0.0660021976090981,"CanolaMeal10thaTSP"
"227","NH4","ResinP",0.0334754579357728,"CanolaMeal10thaTSP"
"228","PO4","ResinP",-0.048281537809902,"CanolaMeal10thaTSP"
"229","ResinP","ResinP",0.036094677330133,"CanolaMeal10thaTSP"
"230","WaterSolP","ResinP",-0.0203843826586668,"CanolaMeal10thaTSP"
"231","TotalP2","ResinP",0.164079658433975,"CanolaMeal10thaTSP"
"232","Drywt","WaterSolP",0.00174611502204277,"CanolaMeal10thaTSP"
"233","NO3","WaterSolP",-0.0372745831766615,"CanolaMeal10thaTSP"
"234","NH4","WaterSolP",-0.018905184772693,"CanolaMeal10thaTSP"
"235","PO4","WaterSolP",0.0272668829551858,"CanolaMeal10thaTSP"
"236","ResinP","WaterSolP",-0.0203843826586668,"CanolaMeal10thaTSP"
"237","WaterSolP","WaterSolP",0.0115120313328876,"CanolaMeal10thaTSP"
"238","TotalP2","WaterSolP",-0.092663594508137,"CanolaMeal10thaTSP"
"239","Drywt","TotalP2",-0.0140549734176717,"CanolaMeal10thaTSP"
